username,bloc,trade_score,abortion_score,migration_score,economics_score,rights_score
seanhart,Post-Scarcity Front,1,2,1,2,1
mehdi-benembarek,Builder Bloc,2,4,1,3,1
rolandantoun1,Builder Bloc,3,1,0,1,1
dirtysocks.eth,Builder Bloc,2,4,1,3,2
eek.eth,Builder Bloc,2,0,1,1,0
kidmyr.eth,Builder Bloc,2,3,2,3,2
pinstripedgator,Builder Bloc,2,5,1,1,0
huugo,Builder Bloc,1,2,1,4,0
meb,Builder Bloc,2,5,5,2,2
cryptim.eth,Builder Bloc,3,2,3,2,2
wizberry303,Builder Bloc,1,3,1,2,4
insanelabz,Builder Bloc,1,1,3,1,3
listen2mm.eth,Builder Bloc,2,0,1,4,1
saluberis,Builder Bloc,2,2,5,3,2
kyb,Builder Bloc,2,1,4,3,1
ajrony,Builder Bloc,2,1,1,3,2
denzooo,Builder Bloc,2,0,1,2,3
marcuswhitney,Builder Bloc,0,3,2,2,2
jonathancolton,Builder Bloc,1,0,1,1,0
b05,Builder Bloc,2,0,1,1,0
javabu.eth,Builder Bloc,2,2,1,4,2
freymon.eth,Builder Bloc,1,6,2,2,0
seanhart,Builder Bloc,1,2,1,2,1
hengky420,Abundance Alliance,0,3,2,3,4
hiponax.eth,Abundance Alliance,3,1,3,0,0
chado,Abundance Alliance,1,0,3,3,0
mehdi-benembarek,Abundance Alliance,2,4,1,3,1
papa,Abundance Alliance,2,3,1,4,0
rolandantoun1,Abundance Alliance,3,1,0,1,1
iboyn,Abundance Alliance,0,1,3,4,2
juliettemeon,Abundance Alliance,3,3,4,3,0
dirtysocks.eth,Abundance Alliance,2,4,1,3,2
eek.eth,Abundance Alliance,2,0,1,1,0
kidmyr.eth,Abundance Alliance,2,3,2,3,2
pinstripedgator,Abundance Alliance,2,5,1,1,0
huugo,Abundance Alliance,1,2,1,4,0
elfahmi,Abundance Alliance,0,1,3,5,1
ruminations,Abundance Alliance,4,1,4,2,3
athxna.eth,Abundance Alliance,2,0,1,3,0
meb,Abundance Alliance,2,5,5,2,2
cryptim.eth,Abundance Alliance,3,2,3,2,2
link3,Abundance Alliance,0,3,5,2,3
wizberry303,Abundance Alliance,1,3,1,2,4
insanelabz,Abundance Alliance,1,1,3,1,3
ai4therapy,Abundance Alliance,3,5,3,1,2
listen2mm.eth,Abundance Alliance,2,0,1,4,1
dogmatik,Abundance Alliance,4,4,3,2,3
saluberis,Abundance Alliance,2,2,5,3,2
adaninie,Abundance Alliance,1,2,0,5,3
speakup,Abundance Alliance,3,0,1,3,0
kyb,Abundance Alliance,2,1,4,3,1
ajrony,Abundance Alliance,2,1,1,3,2
homer27,Abundance Alliance,3,3,1,0,2
syubidab.eth,Abundance Alliance,4,3,1,0,3
mustang,Abundance Alliance,1,3,3,4,2
ukhy89,Abundance Alliance,0,3,4,3,2
denzooo,Abundance Alliance,2,0,1,2,3
abcryptozone,Abundance Alliance,0,2,3,3,0
marcuswhitney,Abundance Alliance,0,3,2,2,2
jonathancolton,Abundance Alliance,1,0,1,1,0
b05,Abundance Alliance,2,0,1,1,0
javabu.eth,Abundance Alliance,2,2,1,4,2
eatzebugs,Abundance Alliance,4,3,4,3,3
gryphon,Abundance Alliance,2,4,5,3,2
freymon.eth,Abundance Alliance,1,6,2,2,0
seanhart,Abundance Alliance,1,2,1,2,1
hengky420,Localist League,0,3,2,3,4
mosi0oo,Localist League,4,3,5,0,3
jshaner.base.eth,Localist League,4,5,3,2,0
geesmike,Localist League,4,5,3,2,4
juliettemeon,Localist League,3,3,4,3,0
basement5k,Localist League,4,3,5,2,4
ruminations,Localist League,4,1,4,2,3
trishd,Localist League,3,0,4,4,1
link3,Localist League,0,3,5,2,3
leadgen,Localist League,0,4,5,3,2
gadoo,Localist League,5,6,3,3,0
ai4therapy,Localist League,3,5,3,1,2
dogmatik,Localist League,4,4,3,2,3
yara2024,Localist League,1,6,3,5,4
syubidab.eth,Localist League,4,3,1,0,3
mustang,Localist League,1,3,3,4,2
ukhy89,Localist League,0,3,4,3,2
zakriya,Localist League,0,3,0,3,4
eatzebugs,Localist League,4,3,4,3,3
gryphon,Localist League,2,4,5,3,2
geesmike,NatCon Corps,4,5,3,2,4
basement5k,NatCon Corps,4,3,5,2,4
fredrickadler,Postliberal Front,6,2,6,2,6
